buffer_size,load_total,clear_total,input_load,input_clear,weight_load,weight_clear,output_load,output_clear
1024,107550,43822,150,111,53700,43501,53700,210
11264,107550,4026,150,12,53700,3993,53700,21
21504,107550,2152,150,8,53700,2131,53700,13
31744,107550,1455,150,6,53700,1440,53700,9
41984,107550,1155,150,6,53700,1140,53700,9
52224,107550,863,150,4,53700,854,53700,5
62464,107550,740,150,4,53700,731,53700,5
72704,107550,653,150,4,53700,644,53700,5
82944,107550,587,150,4,53700,578,53700,5
93184,107550,533,150,4,53700,524,53700,5
103424,107550,491,150,4,53700,482,53700,5
113664,107550,458,150,4,53700,449,53700,5
123904,107550,428,150,4,53700,419,53700,5
134144,107550,404,150,4,53700,395,53700,5
144384,107550,383,150,4,53700,374,53700,5
154624,107550,365,150,4,53700,356,53700,5
164864,107550,350,150,4,53700,341,53700,5
175104,107550,335,150,4,53700,326,53700,5
185344,107550,323,150,4,53700,314,53700,5
195584,107550,314,150,4,53700,305,53700,5
205824,107550,302,150,4,53700,293,53700,5
216064,107550,293,150,4,53700,284,53700,5
226304,107550,284,150,4,53700,275,53700,5
236544,107550,278,150,4,53700,269,53700,5
246784,107550,272,150,4,53700,263,53700,5
257024,107550,263,150,4,53700,254,53700,5
